 ,Area,Mean,Min,Max,X,Y
1,0,70,70,70,2924.000,1200.000
2,0,30,30,30,2639.500,1227.500
3,0,68,68,68,2319.500,1319.500
4,0,62,62,62,2239.500,1471.500
5,0,191,191,191,2771.500,1363.500
6,0,61,61,61,2915.500,1399.500
7,0,51,51,51,2831.500,1519.500
8,0,89,89,89,2951.500,1503.500
9,0,44,44,44,3059.500,1807.500
10,0,23,23,23,3179.500,1951.500
11,0,28,28,28,3267.500,2079.500
12,0,31,31,31,3319.500,2127.500
13,0,36,36,36,3407.500,2423.500
14,0,158,158,158,3243.500,2618.500
15,0,45,45,45,2927.500,2906.500
16,0,92,92,92,3460.500,2751.500
