 ,Area,Mean,Min,Max,X,Y
1,0,58,58,58,4140.000,4373.000
2,0,1,1,1,4047.500,4336.500
3,0,122,122,122,4083.500,4208.500
4,0,41,41,41,3971.500,4144.500
5,0,46,46,46,3959.500,4040.500
6,0,42,42,42,3819.500,4132.500
7,0,26,26,26,3751.500,4168.500
8,0,52,52,52,3463.500,4044.500
9,0,94,94,94,3439.500,4088.500
10,0,33,33,33,3263.500,4140.500
11,0,30,30,30,3263.500,3964.500
12,0,53,53,53,2975.500,4092.500
13,0,108,108,108,2919.500,4064.500
14,0,4,4,4,2755.500,3776.500
15,0,51,51,51,2643.500,3776.500
16,0,82,82,82,3251.167,3508.167
17,0,79,79,79,3436.500,3512.167
18,0,151,151,151,2510.500,3373.500
19,0,74,74,74,2327.500,3304.500
20,0,54,54,54,1979.500,2703.500
21,0,60,60,60,2216.500,714.500
22,0,42,42,42,3131.500,518.500
23,0,111,111,111,5126.500,1538.500
24,0,130,130,130,5306.500,1769.500
25,0,73,73,73,5207.500,1922.500
26,0,37,37,37,4982.500,2045.500
27,0,212,212,212,4946.500,1946.500
28,0,50,50,50,4544.500,2000.500
29,0,168,168,168,5099.500,2189.500
30,0,61,61,61,5156.500,2186.500
31,0,76,76,76,5273.500,2111.500
32,0,42,42,42,1707.500,377.500
33,0,182,182,182,4341.500,2548.500
