 ,Area,Mean,Min,Max,X,Y
1,0,10,10,10,5065.500,1398.500
2,0,58,58,58,5123.000,1436.000
3,0,36,36,36,5197.000,1486.000
4,0,67,67,67,4891.000,1594.000
5,0,143,143,143,4923.000,1978.000
6,0,7,7,7,5217.000,4129.000
7,0,137,137,137,5385.000,3949.000
8,0,52,52,52,5581.000,3995.000
9,0,112,112,112,5651.000,3909.000
10,0,2,2,2,5651.000,3627.000
11,0,2,2,2,5065.000,3985.000
12,0,96,96,96,3239.000,3629.000
13,0,192,192,192,3337.000,3697.000
14,0,144,144,144,3399.000,3937.000
15,0,63,63,63,3465.000,3949.000
16,0,2,2,2,3893.000,3887.000
17,0,46,46,46,3929.000,3869.000
18,0,115,115,115,3607.000,500.000
19,0,127,127,127,921.000,2893.000
20,0,114,114,114,751.000,3045.000
21,0,85,85,85,867.000,3127.000
22,0,78,78,78,973.000,3185.000
23,0,119,119,119,917.000,3229.000
24,0,76,76,76,1145.000,3335.000
25,0,47,47,47,1245.000,3577.000
26,0,69,69,69,967.000,3441.000
27,0,237,237,237,687.000,3517.000
28,0,69,69,69,435.000,3345.000
29,0,118,118,118,1638.500,2647.500
30,0,111,111,111,7715.500,245.500
31,0,1,1,1,7759.500,355.500
32,0,36,36,36,7841.500,861.500
33,0,73,73,73,7857.500,967.500
34,0,11,11,11,7881.500,2073.500
35,0,70,70,70,6827.500,2407.500
36,0,141,141,141,7967.500,3279.500
37,0,18,18,18,7743.500,3515.500
38,0,46,46,46,7391.500,3519.500
39,0,127,127,127,7335.500,3631.500
40,0,4,4,4,7247.500,3675.500
41,0,201,201,201,7125.500,3687.500
42,0,24,24,24,7125.500,3697.500
43,0,247,247,247,7181.500,3501.500
44,0,37,37,37,6979.500,3569.500
45,0,115,115,115,7003.500,3637.500
46,0,64,64,64,6863.500,3731.500
47,0,48,48,48,7197.500,3791.500
48,0,151,151,151,7165.500,3791.500
49,0,2,2,2,7131.500,3813.500
50,0,42,42,42,7131.500,3865.500
51,0,84,84,84,7091.500,3865.500
