 ,Area,Mean,Min,Max,X,Y
1,0,160,160,160,4532.000,1983.000
2,0,113,113,113,5275.500,1674.500
3,0,152,152,152,5279.500,1750.500
4,0,122,122,122,4923.500,2166.500
5,0,153,153,153,4947.500,2154.500
6,0,113,113,113,4747.500,2362.500
7,0,93,93,93,4663.500,2810.500
8,0,108,108,108,5387.500,2678.500
9,0,76,76,76,4231.500,3199.500
10,0,195,195,195,4695.500,3247.500
11,0,93,93,93,4811.500,3351.500
12,0,149,149,149,4787.500,3471.500
13,0,170,170,170,5227.500,3155.500
14,0,147,147,147,5231.500,3203.500
15,0,231,231,231,5407.500,3523.500
16,0,94,94,94,5515.500,3515.500
17,0,204,204,204,5595.500,3563.500
18,0,137,137,137,5687.500,3707.500
19,0,99,99,99,5799.500,3695.500
20,0,82,82,82,5847.500,3703.500
21,0,92,92,92,5907.500,3575.500
22,0,113,113,113,6443.500,3583.500
23,0,79,79,79,6007.500,3667.500
24,0,112,112,112,6931.500,3339.500
25,0,75,75,75,6939.500,3427.500
26,0,71,71,71,7063.500,3475.500
27,0,82,82,82,7191.500,3751.500
28,0,161,161,161,3007.500,3510.500
29,0,105,105,105,2947.500,3452.500
30,0,187,187,187,2901.500,3392.500
31,0,70,70,70,2793.500,3410.500
32,0,73,73,73,3005.500,3344.500
33,0,73,73,73,3081.500,3298.500
34,0,67,67,67,3119.500,3300.500
35,0,70,70,70,3059.500,3206.500
36,0,87,87,87,3029.500,3110.500
37,0,113,113,113,3001.500,3130.500
38,0,75,75,75,2925.500,3158.500
39,0,75,75,75,2933.500,3190.500
40,0,123,123,123,2857.500,3240.500
41,0,86,86,86,2893.500,3244.500
42,0,88,88,88,2811.500,3180.500
43,0,109,109,109,2715.500,3126.500
44,0,112,112,112,2687.500,3038.500
45,0,178,178,178,2651.500,3162.500
46,0,95,95,95,2593.500,3212.500
47,0,207,207,207,2497.500,3038.500
48,0,88,88,88,2779.500,2806.500
49,0,87,87,87,2359.500,2731.500
50,0,156,156,156,3689.500,1356.500
51,0,144,144,144,3895.500,1302.500
52,0,164,164,164,2053.500,1555.500
53,0,77,77,77,2089.500,1581.500
54,0,94,94,94,2089.500,1547.500
55,0,92,92,92,3302.500,3428.500
56,0,86,86,86,3539.500,3395.500
57,0,92,92,92,3524.500,3305.500
58,0,92,92,92,3359.500,3329.500
59,0,220,220,220,3998.500,2435.500
60,0,109,109,109,3839.500,2417.500
61,0,141,141,141,3716.500,2543.500
62,0,145,145,145,6175.500,2918.500
63,0,92,92,92,5621.500,3340.500
64,0,106,106,106,5683.500,3334.500
65,0,135,135,135,5029.500,3316.500
66,0,96,96,96,5029.500,3330.500
67,0,134,134,134,4863.500,3165.500
