 ,Area,Mean,Min,Max,X,Y
1,0,54,54,54,1419.000,533.000
2,0,71,71,71,1351.833,468.833
3,0,92,92,92,1430.500,386.167
4,0,62,62,62,1241.167,372.833
5,0,89,89,89,1194.500,422.167
6,0,100,100,100,1166.500,432.833
7,0,65,65,65,1151.833,452.833
8,0,119,119,119,882.500,536.500
9,0,112,112,112,695.500,710.167
10,0,108,108,108,682.167,712.833
11,0,63,63,63,726.167,730.167
12,0,101,101,101,670.167,747.500
13,0,55,55,55,670.167,755.500
14,0,131,131,131,715.500,806.167
15,0,80,80,80,744.833,819.500
16,0,65,65,65,752.833,778.167
17,0,60,60,60,775.500,772.833
18,0,61,61,61,818.167,731.500
19,0,72,72,72,890.500,773.500
20,0,91,91,91,665.500,853.500
21,0,136,136,136,648.500,907.500
22,0,71,71,71,661.500,898.500
23,0,70,70,70,685.500,919.500
24,0,139,139,139,699.500,939.500
25,0,145,145,145,725.500,915.500
26,0,84,84,84,809.500,857.500
27,0,74,74,74,844.500,828.500
28,0,71,71,71,809.500,915.500
29,0,71,71,71,835.500,928.500
30,0,98,98,98,812.500,970.500
31,0,94,94,94,767.500,1066.500
32,0,82,82,82,844.500,1036.500
33,0,121,121,121,833.500,1068.500
34,0,76,76,76,830.500,1085.500
35,0,77,77,77,865.500,1127.500
36,0,77,77,77,994.500,1180.500
37,0,102,102,102,1047.500,1232.500
38,0,85,85,85,976.500,1260.500
39,0,113,113,113,1743.500,1088.500
40,0,116,116,116,1773.500,1083.500
41,0,84,84,84,1783.500,1069.500
