 ,Area,Mean,Min,Max,X,Y
1,0,50,50,50,5852.000,3236.000
2,0,128,128,128,5851.500,3179.500
3,0,111,111,111,5795.500,3087.500
4,0,176,176,176,5759.500,2995.500
5,0,149,149,149,5931.500,3055.500
6,0,82,82,82,5792.500,3527.500
7,0,127,127,127,5921.500,3698.500
8,0,100,100,100,6239.500,3175.500
9,0,118,118,118,6254.500,3199.500
10,0,116,116,116,6260.500,2520.500
11,0,77,77,77,5816.500,2439.500
12,0,139,139,139,5651.500,2424.500
13,0,109,109,109,5168.500,1374.500
14,0,94,94,94,5057.500,1359.500
15,0,76,76,76,5156.500,1506.500
16,0,235,235,235,2615.500,2736.500
17,0,153,153,153,2639.500,2856.500
18,0,117,117,117,2719.500,2708.500
19,0,89,89,89,2899.500,2892.500
20,0,133,133,133,3135.500,2832.500
21,0,159,159,159,3507.500,3272.500
22,0,104,104,104,3587.500,3076.500
23,0,122,122,122,4039.500,3240.500
24,0,182,182,182,3939.500,3048.500
25,0,226,226,226,4047.500,2984.500
26,0,164,164,164,4047.500,2960.500
27,0,55,55,55,4079.500,2932.500
28,0,88,88,88,4139.500,2940.500
29,0,181,181,181,4187.500,2740.500
30,0,169,169,169,4123.500,2740.500
31,0,78,78,78,4067.500,2632.500
32,0,96,96,96,3839.500,2772.500
33,0,178,178,178,3899.500,2824.500
34,0,86,86,86,3799.500,2852.500
35,0,192,192,192,3763.500,2836.500
36,0,70,70,70,3539.500,2704.500
37,0,66,66,66,3543.500,2384.500
38,0,77,77,77,3283.500,2372.500
39,0,145,145,145,3787.500,2216.500
40,0,190,190,190,3903.500,2292.500
41,0,82,82,82,4011.500,2416.500
42,0,66,66,66,4243.500,2428.500
43,0,95,95,95,4127.500,2148.500
44,0,111,111,111,3935.500,1690.500
45,0,100,100,100,3675.500,1730.500
46,0,123,123,123,3719.500,1886.500
47,0,65,65,65,3447.500,1910.500
48,0,104,104,104,3543.500,2130.500
49,0,105,105,105,3435.500,1742.500
50,0,174,174,174,3375.500,1626.500
51,0,87,87,87,3463.500,1646.500
52,0,117,117,117,3579.500,1642.500
53,0,107,107,107,3639.500,1610.500
54,0,122,122,122,3891.500,1534.500
55,0,110,110,110,3527.500,1518.500
56,0,124,124,124,3619.500,1390.500
57,0,122,122,122,3739.500,1406.500
58,0,152,152,152,4731.500,1119.500
59,0,95,95,95,3839.500,1023.500
60,0,133,133,133,3483.500,1071.500
61,0,86,86,86,3251.500,919.500
62,0,76,76,76,3223.500,911.500
63,0,156,156,156,3135.500,815.500
64,0,73,73,73,3115.500,1043.500
65,0,124,124,124,2879.500,1239.500
66,0,122,122,122,2967.500,2195.500
67,0,102,102,102,2435.500,2403.500
68,0,149,149,149,2391.500,2027.500
69,0,71,71,71,2511.500,1807.500
70,0,87,87,87,2403.500,1799.500
71,0,228,228,228,2423.500,1543.500
72,0,128,128,128,2419.500,1339.500
73,0,123,123,123,2483.500,979.500
74,0,97,97,97,2187.500,1167.500
75,0,190,190,190,2019.500,1347.500
76,0,168,168,168,1791.500,1898.500
77,0,101,101,101,1987.500,2134.500
78,0,204,204,204,1639.500,2630.500
79,0,214,214,214,3547.500,690.500
80,0,112,112,112,3999.500,370.500
81,0,101,101,101,4051.500,430.500
82,0,128,128,128,4063.500,422.500
83,0,117,117,117,4207.500,269.500
84,0,200,200,200,4228.500,269.500
85,0,235,235,235,4246.500,275.500
86,0,153,153,153,4747.500,1391.500
87,0,103,103,103,4807.500,1406.500
88,0,147,147,147,4873.500,1469.500
89,0,235,235,235,1581.500,2298.500
