 ,Area,Mean,Min,Max,X,Y
1,0,12,12,12,3484.000,720.000
2,0,10,10,10,3735.500,655.500
3,0,121,121,121,3823.500,791.500
4,0,86,86,86,3943.500,755.500
5,0,17,17,17,3995.500,811.500
6,0,1,1,1,4151.500,811.500
7,0,130,130,130,4247.500,803.500
8,0,53,53,53,4235.500,1007.500
9,0,50,50,50,4151.500,1059.500
10,0,40,40,40,4107.500,1207.500
11,0,10,10,10,4011.500,1115.500
12,0,41,41,41,3947.500,1155.500
13,0,47,47,47,3871.500,1119.500
14,0,24,24,24,3735.500,1051.500
15,0,51,51,51,3779.500,1067.500
16,0,49,49,49,3787.500,975.500
17,0,49,49,49,3679.500,919.500
18,0,203,203,203,3359.500,875.500
19,0,103,103,103,3095.500,1223.500
20,0,57,57,57,3303.500,1131.500
21,0,162,162,162,3523.500,1095.500
22,0,162,162,162,3543.500,1235.500
23,0,23,23,23,3391.500,1315.500
24,0,54,54,54,3271.500,1431.500
25,0,72,72,72,3139.500,1359.500
26,0,135,135,135,3103.500,1343.500
27,0,191,191,191,3591.500,1379.500
28,0,51,51,51,3651.500,1195.500
29,0,71,71,71,3627.500,1255.500
30,0,69,69,69,3687.500,1255.500
31,0,38,38,38,3767.500,1243.500
32,0,54,54,54,3847.500,1295.500
33,0,37,37,37,3707.500,1447.500
34,0,133,133,133,3807.500,1634.500
35,0,37,37,37,4027.500,1514.500
36,0,0,0,0,3527.500,1518.500
37,0,29,29,29,3363.500,1606.500
38,0,52,52,52,3391.500,1694.500
39,0,50,50,50,3267.500,1834.500
40,0,49,49,49,3115.500,1878.500
41,0,51,51,51,2947.500,1962.500
42,0,54,54,54,3071.500,2046.500
43,0,1,1,1,3103.500,2114.500
44,0,68,68,68,3431.500,2014.500
45,0,52,52,52,3315.500,2046.500
46,0,85,85,85,2915.500,2274.500
47,0,13,13,13,2683.500,2318.500
48,0,71,71,71,4587.500,1962.500
49,0,68,68,68,5219.500,1310.500
50,0,207,207,207,5443.500,1346.500
51,0,220,220,220,5603.500,1554.500
52,0,50,50,50,5783.500,1966.500
53,0,106,106,106,5231.500,1794.500
54,0,89,89,89,4651.500,3613.500
55,0,89,89,89,2827.500,3009.500
56,0,148,148,148,2363.500,2985.500
57,0,123,123,123,2487.500,4588.500
58,0,151,151,151,1179.500,4004.500
59,0,10,10,10,1435.500,3924.500
60,0,11,11,11,1491.500,3876.500
61,0,86,86,86,1415.500,3828.500
62,0,57,57,57,1491.500,3564.500
63,0,58,58,58,1643.500,3564.500
64,0,45,45,45,1671.500,3524.500
65,0,51,51,51,1915.500,3416.500
66,0,100,100,100,6099.500,2135.500
67,0,42,42,42,6171.500,2139.500
68,0,248,248,248,6083.500,2463.500
69,0,62,62,62,6219.500,2431.500
70,0,67,67,67,6611.500,2755.500
71,0,64,64,64,6635.500,3087.500
