 ,Area,Mean,Min,Max,X,Y
1,0,62,62,62,7532.000,3523.000
2,0,48,48,48,7711.500,3342.500
3,0,43,43,43,7375.500,3450.500
4,0,43,43,43,7283.500,3326.500
5,0,38,38,38,5723.500,3322.500
6,0,39,39,39,5671.500,2998.500
7,0,48,48,48,5675.500,3058.500
8,0,42,42,42,5495.500,3110.500
9,0,50,50,50,5415.500,3230.500
10,0,41,41,41,5547.500,3262.500
11,0,63,63,63,5279.500,3126.500
12,0,42,42,42,5199.500,3074.500
13,0,56,56,56,5099.500,3066.500
14,0,64,64,64,5055.500,2990.500
15,0,52,52,52,5043.500,3322.500
16,0,70,70,70,4803.500,3094.500
17,0,74,74,74,4583.500,3266.500
18,0,46,46,46,4511.500,3218.500
19,0,52,52,52,4287.500,2966.500
20,0,30,30,30,2527.500,2787.500
21,0,30,30,30,2295.500,2971.500
22,0,32,32,32,2515.500,2955.500
23,0,44,44,44,2563.500,2959.500
24,0,32,32,32,2591.500,2975.500
25,0,37,37,37,2675.500,3015.500
26,0,56,56,56,2727.500,2927.500
27,0,36,36,36,2875.500,2859.500
28,0,34,34,34,2939.500,2939.500
29,0,32,32,32,3083.500,2931.500
30,0,87,87,87,3039.500,3235.500
31,0,74,74,74,2995.500,3239.500
32,0,44,44,44,2903.500,3123.500
33,0,34,34,34,2843.500,3159.500
34,0,82,82,82,2815.500,3271.500
35,0,34,34,34,2775.500,3179.500
36,0,42,42,42,2735.500,3191.500
37,0,41,41,41,2651.500,3227.500
38,0,30,30,30,2651.500,3147.500
39,0,43,43,43,3893.500,2792.500
40,0,43,43,43,3893.500,2342.500
41,0,59,59,59,4548.500,776.500
42,0,53,53,53,4578.500,1139.500
