 ,Area,Mean,Min,Max,X,Y
1,0,97,97,97,5760.000,4107.000
2,0,109,109,109,5789.500,4118.500
3,0,67,67,67,3611.500,3704.500
4,0,78,78,78,3611.500,3536.500
5,0,96,96,96,3659.500,3188.500
6,0,87,87,87,3743.500,3308.500
7,0,78,78,78,3281.500,2480.500
8,0,72,72,72,3347.500,2462.500
9,0,119,119,119,3479.500,2588.500
10,0,77,77,77,2615.500,2930.500
11,0,79,79,79,1907.500,2918.500
12,0,65,65,65,2279.500,2307.500
13,0,127,127,127,1943.500,1743.500
14,0,119,119,119,1851.500,1803.500
15,0,81,81,81,2331.500,1815.500
16,0,111,111,111,2787.500,1795.500
