 ,Area,Mean,Min,Max,X,Y
1,0,67,67,67,4646.000,1218.000
2,0,125,125,125,3397.500,881.500
3,0,25,25,25,3361.500,935.500
4,0,87,87,87,3523.500,1001.500
5,0,186,186,186,3589.500,1007.500
6,0,32,32,32,3781.500,1043.500
7,0,30,30,30,3895.500,1283.500
8,0,30,30,30,3835.500,1289.500
9,0,26,26,26,3799.500,1313.500
10,0,20,20,20,3679.500,1349.500
11,0,56,56,56,3595.500,1403.500
12,0,26,26,26,3385.500,1211.500
13,0,42,42,42,3367.500,1103.500
14,0,20,20,20,3325.500,1103.500
15,0,59,59,59,3265.500,1127.500
16,0,30,30,30,3247.500,1163.500
17,0,37,37,37,3091.500,1205.500
18,0,46,46,46,4765.500,1445.500
19,0,61,61,61,4069.500,1433.500
20,0,30,30,30,3601.500,1751.500
21,0,32,32,32,3889.500,1907.500
22,0,39,39,39,3523.500,1871.500
23,0,36,36,36,3463.500,2370.500
24,0,21,21,21,3409.500,2586.500
25,0,32,32,32,2803.500,2520.500
26,0,18,18,18,2701.500,2502.500
27,0,50,50,50,2605.500,3103.500
28,0,168,168,168,2185.500,3487.500
