 ,Area,Mean,Min,Max,X,Y
1,0,28,28,28,3467.000,983.000
2,0,15,15,15,3565.500,1123.500
3,0,59,59,59,3586.500,1180.500
4,0,20,20,20,3784.500,1378.500
5,0,26,26,26,3691.500,1375.500
6,0,20,20,20,3850.500,1510.500
7,0,52,52,52,3910.500,1447.500
8,0,43,43,43,3475.500,1360.500
9,0,85,85,85,3412.500,1405.500
10,0,41,41,41,3316.500,1423.500
11,0,40,40,40,3277.500,1381.500
12,0,22,22,22,3277.500,1525.500
13,0,27,27,27,3307.500,1570.500
14,0,19,19,19,3454.500,1603.500
15,0,23,23,23,3202.500,1609.500
16,0,52,52,52,3085.500,1867.500
17,0,33,33,33,3274.500,1930.500
18,0,24,24,24,3391.500,1930.500
19,0,35,35,35,3277.500,2206.500
20,0,68,68,68,3055.500,2344.500
21,0,64,64,64,3226.500,2392.500
22,0,32,32,32,3232.500,2431.500
23,0,61,61,61,3274.500,2431.500
24,0,128,128,128,2235.500,3828.500
25,0,27,27,27,2083.500,3524.500
26,0,66,66,66,2039.500,3504.500
27,0,25,25,25,1975.500,3444.500
28,0,26,26,26,1887.500,3632.500
29,0,48,48,48,1851.500,3616.500
30,0,36,36,36,1623.500,3860.500
31,0,28,28,28,1659.500,4068.500
32,0,45,45,45,1491.500,4196.500
33,0,34,34,34,1575.500,4336.500
34,0,46,46,46,1595.500,4336.500
