 ,Area,Mean,Min,Max,X,Y
1,0,37,37,37,4144.000,1413.000
2,0,191,191,191,4027.500,1492.500
3,0,44,44,44,4015.500,1516.500
4,0,65,65,65,4319.500,1660.500
5,0,122,122,122,4067.500,1796.500
6,0,27,27,27,4067.500,1948.500
7,0,52,52,52,4187.500,2116.500
8,0,35,35,35,4087.500,2116.500
9,0,69,69,69,4151.500,2204.500
10,0,43,43,43,4203.500,2228.500
11,0,121,121,121,4227.500,2248.500
12,0,49,49,49,4383.500,2056.500
13,0,129,129,129,3515.500,2502.500
14,0,19,19,19,2943.500,3403.500
15,0,139,139,139,3075.500,3475.500
16,0,43,43,43,2951.500,3555.500
17,0,47,47,47,3151.500,3527.500
18,0,48,48,48,3263.500,3599.500
19,0,7,7,7,3383.500,3623.500
20,0,0,0,0,3495.500,3607.500
21,0,223,223,223,3531.500,3771.500
22,0,38,38,38,3539.500,3851.500
23,0,211,211,211,3779.500,3631.500
24,0,85,85,85,3795.500,3395.500
25,0,134,134,134,3891.500,3439.500
26,0,168,168,168,3907.500,3619.500
27,0,27,27,27,3975.500,3631.500
28,0,9,9,9,4039.500,3547.500
29,0,22,22,22,4011.500,3355.500
30,0,106,106,106,4159.500,3199.500
31,0,3,3,3,4187.500,3351.500
32,0,17,17,17,4107.500,3735.500
33,0,4,4,4,4123.500,3687.500
34,0,50,50,50,4183.500,3671.500
35,0,1,1,1,4275.500,3739.500
36,0,30,30,30,4467.500,3327.500
37,0,154,154,154,4691.500,3379.500
38,0,7,7,7,4867.500,3319.500
39,0,45,45,45,4591.500,3723.500
40,0,7,7,7,5043.500,3475.500
41,0,0,0,0,5243.500,3699.500
42,0,23,23,23,5907.500,3595.500
43,0,65,65,65,6127.500,3455.500
44,0,19,19,19,6215.500,3439.500
45,0,4,4,4,6323.500,3515.500
46,0,25,25,25,6359.500,3527.500
47,0,21,21,21,6371.500,3491.500
48,0,65,65,65,6423.500,3459.500
49,0,41,41,41,6291.500,3659.500
50,0,61,61,61,6407.500,3787.500
51,0,5,5,5,6435.500,3747.500
52,0,42,42,42,2883.500,3400.500
53,0,45,45,45,2755.500,3304.500
54,0,99,99,99,2643.500,3424.500
55,0,5,5,5,2775.500,3704.500
56,0,15,15,15,2687.500,3596.500
57,0,199,199,199,2639.500,3652.500
58,0,215,215,215,2631.500,3756.500
59,0,1,1,1,2455.500,3576.500
60,0,38,38,38,2471.500,3420.500
61,0,142,142,142,2259.500,3412.500
62,0,16,16,16,2247.500,3412.500
63,0,216,216,216,2355.500,3196.500
64,0,35,35,35,2107.500,3288.500
65,0,55,55,55,1735.500,2876.500
66,0,30,30,30,1051.500,3292.500
67,0,22,22,22,1139.500,3344.500
68,0,31,31,31,1403.500,1508.500
69,0,71,71,71,3788.500,2810.500
70,0,104,104,104,3452.500,2813.500
71,0,109,109,109,4427.500,1319.500
