 ,Area,Mean,Min,Max,X,Y
1,0,30,30,30,5812.000,4157.000
2,0,110,110,110,5931.500,3960.500
3,0,112,112,112,5843.500,3900.500
4,0,80,80,80,5943.500,3836.500
5,0,75,75,75,5903.500,3788.500
6,0,9,9,9,5871.500,3808.500
7,0,155,155,155,5807.500,3780.500
8,0,67,67,67,5731.500,3784.500
9,0,96,96,96,5771.500,3640.500
10,0,12,12,12,5735.500,3684.500
11,0,66,66,66,5643.500,3612.500
12,0,26,26,26,5707.500,3512.500
13,0,23,23,23,5819.500,3420.500
14,0,56,56,56,5883.500,3440.500
15,0,32,32,32,5931.500,3528.500
16,0,69,69,69,5987.500,3532.500
17,0,187,187,187,5979.500,3656.500
18,0,23,23,23,6011.500,3744.500
19,0,4,4,4,6007.500,3412.500
20,0,100,100,100,6043.500,3292.500
21,0,165,165,165,5895.500,3232.500
22,0,20,20,20,5815.500,3220.500
23,0,53,53,53,5763.500,3288.500
24,0,98,98,98,5899.500,3056.500
25,0,58,58,58,5295.500,1005.500
26,0,65,65,65,5227.500,1065.500
27,0,204,204,204,5155.500,1169.500
28,0,60,60,60,5107.500,1161.500
29,0,1,1,1,4399.500,787.500
30,0,91,91,91,4391.500,771.500
31,0,126,126,126,4239.500,291.500
32,0,25,25,25,4195.500,3057.500
33,0,34,34,34,4187.500,3257.500
34,0,1,1,1,4143.500,3237.500
35,0,4,4,4,4063.500,3229.500
36,0,40,40,40,3891.500,3109.500
37,0,4,4,4,4007.500,3345.500
38,0,0,0,0,3967.500,3337.500
39,0,130,130,130,3943.500,3357.500
40,0,18,18,18,3907.500,3313.500
41,0,118,118,118,3891.500,3293.500
42,0,41,41,41,3919.500,3245.500
43,0,39,39,39,3959.500,3425.500
44,0,45,45,45,3911.500,3461.500
45,0,89,89,89,3807.500,3461.500
46,0,141,141,141,3867.500,3365.500
47,0,57,57,57,3811.500,3225.500
48,0,10,10,10,3727.500,3225.500
49,0,127,127,127,3643.500,3177.500
50,0,57,57,57,3599.500,3145.500
51,0,24,24,24,3567.500,3185.500
52,0,59,59,59,3531.500,3129.500
53,0,49,49,49,3487.500,3101.500
54,0,0,0,0,3407.500,3069.500
55,0,61,61,61,3319.500,3129.500
56,0,204,204,204,3271.500,3133.500
57,0,13,13,13,3215.500,3413.500
58,0,148,148,148,2999.500,3377.500
59,0,7,7,7,3151.500,3077.500
60,0,31,31,31,3071.500,2929.500
61,0,68,68,68,3171.500,2777.500
62,0,72,72,72,3423.500,2785.500
63,0,146,146,146,3519.500,2793.500
64,0,17,17,17,3691.500,3025.500
65,0,46,46,46,3787.500,2961.500
66,0,39,39,39,3855.500,2977.500
67,0,65,65,65,4068.500,2770.500
68,0,21,21,21,4200.500,2065.500
69,0,35,35,35,4233.500,2092.500
70,0,164,164,164,3114.500,2603.500
71,0,50,50,50,2931.500,2474.500
72,0,29,29,29,2892.500,2720.500
73,0,137,137,137,2823.500,2624.500
74,0,47,47,47,3036.500,2012.500
75,0,51,51,51,2364.500,2194.500
76,0,5,5,5,2412.500,2258.500
77,0,57,57,57,2436.500,2250.500
78,0,73,73,73,2728.500,2302.500
79,0,38,38,38,3764.500,1354.500
80,0,78,78,78,3792.500,1354.500
81,0,80,80,80,2239.500,2824.500
82,0,30,30,30,439.500,3784.500
83,0,70,70,70,2071.500,1998.500
84,0,66,66,66,2147.500,2082.500
85,0,59,59,59,2203.500,2046.500
86,0,71,71,71,2255.500,2054.500
87,0,118,118,118,1119.500,1846.500
88,0,68,68,68,1755.500,1622.500
89,0,22,22,22,2017.500,990.500
90,0,35,35,35,2494.500,459.500
91,0,16,16,16,3766.500,894.500
92,0,48,48,48,4915.500,543.500
93,0,35,35,35,4180.500,1335.500
94,0,21,21,21,4576.500,1335.500
95,0,34,34,34,3475.500,1425.500
96,0,68,68,68,1168.500,1794.500
97,0,51,51,51,1003.500,1674.500
