 ,Area,Mean,Min,Max,X,Y
1,0,51,51,51,4628.000,2120.000
2,0,49,49,49,3235.500,2731.500
3,0,35,35,35,3163.500,3265.500
4,0,35,35,35,3451.500,3295.500
5,0,103,103,103,3337.500,3731.500
6,0,67,67,67,3475.500,3623.500
7,0,77,77,77,3565.500,3521.500
8,0,30,30,30,3637.500,3479.500
9,0,29,29,29,3613.500,3503.500
10,0,23,23,23,3463.500,3779.500
11,0,113,113,113,3655.500,3839.500
12,0,96,96,96,3961.500,3575.500
13,0,201,201,201,4045.500,3827.500
14,0,86,86,86,4195.500,3539.500
15,0,40,40,40,4753.500,3899.500
16,0,92,92,92,5347.500,3587.500
17,0,67,67,67,5641.500,3803.500
18,0,198,198,198,6199.500,3569.500
19,0,83,83,83,6451.500,3557.500
20,0,41,41,41,8125.500,4586.500
21,0,39,39,39,835.500,1463.500
22,0,39,39,39,903.500,1479.500
23,0,76,76,76,939.500,1615.500
